,Date,VUSTX,VUSTX Div,VTSMX,VTSMX Div,VPACX,VPACX Div,VEIEX,VEIEX Div,VEURX,VEURX Div,Enter 1,Shares 1,Enter 2,Shares 2,Enter 3,Shares 3,Capital
4530,2013-09-27,11.5,0.0,42.84,0.0,11.66,0.0,25.83,0.0,29.4,0.0,VTSMX,507.37186380764115,VPACX,1786.8383939106816,VUSTX,1725.0769965666318,62408.73177903416
4531,2013-09-30,11.49,0.03,42.619999,0.0,11.56,0.0,25.59,0.0,29.219998999999998,0.0,VTSMX,486.1014282846016,VEURX,709.0226932378846,VUSTX,1803.1020354559,62152.92716216488
4532,2013-10-01,11.46,0.0,43.009997999999996,0.0,11.56,0.0,25.82,0.0,29.459999,0.0,VTSMX,486.1014282846016,VEURX,709.0226932378846,VUSTX,1803.1020354559,62458.57861840786
4533,2013-10-02,11.47,0.0,42.970001,0.0,11.53,0.0,25.92,0.0,29.440001000000002,0.0,VTSMX,486.1014282846016,VEURX,709.0226932378846,VUSTX,1803.1020354559,62442.98800411595
4534,2013-10-03,11.46,0.0,42.580002,0.0,11.49,0.0,26.059998999999998,0.0,29.32,0.0,VTSMX,486.1014282846016,VEURX,709.0226932378846,VUSTX,1803.1020354559,62150.294480620585
4535,2013-10-04,11.44,0.0,42.889998999999996,0.0,11.54,0.0,26.219998999999998,0.0,29.24,0.0,VTSMX,486.1014282846016,VEURX,709.0226932378846,VUSTX,1803.1020354559,62208.20060891638
4536,2013-10-07,11.48,0.0,42.5,0.0,11.36,0.0,26.049999,0.0,29.17,0.0,VTSMX,486.1014282846016,VEURX,709.0226932378846,VUSTX,1803.1020354559,62041.114030878394
4537,2013-10-08,11.48,0.0,41.939999,0.0,11.32,0.0,26.0,0.0,28.84,0.0,VTSMX,486.1014282846016,VEURX,709.0226932378846,VUSTX,1803.1020354559,61534.91925616909
4538,2013-10-09,11.4,0.0,41.919998,0.0,11.49,0.0,26.059998999999998,0.0,28.77,0.0,VTSMX,486.1014282846016,VEURX,709.0226932378846,VUSTX,1803.1020354559,61331.31699013884
4539,2013-10-10,11.41,0.0,42.860001000000004,0.0,11.6,0.0,26.49,0.0,29.290001,0.0,VTSMX,486.1014282846016,VEURX,709.0226932378846,VUSTX,1803.1020354559,62174.97732089161
4540,2013-10-11,11.41,0.0,43.16,0.0,11.7,0.0,26.65,0.0,29.459999,0.0,VTSMX,486.1014282846016,VEURX,709.0226932378846,VUSTX,1803.1020354559,62441.33970308061
4541,2013-10-14,11.34,0.0,43.34,0.0,11.71,0.0,26.74,0.0,29.57,0.0,VTSMX,486.1014282846016,VEURX,709.0226932378846,VUSTX,1803.1020354559,62480.61402296879
4542,2013-10-15,11.32,0.0,43.02,0.0,11.66,0.0,26.59,0.0,29.530001000000002,0.0,VTSMX,486.1014282846016,VEURX,709.0226932378846,VUSTX,1803.1020354559,62260.639326501776
4543,2013-10-16,11.44,0.0,43.619999,0.0,11.77,0.0,26.799999,0.0,29.719998999999998,0.0,VTSMX,486.1014282846016,VEURX,709.0226932378846,VUSTX,1803.1020354559,62903.38483529563
4544,2013-10-17,11.54,0.0,43.939999,0.0,11.86,0.0,26.92,0.0,30.129998999999998,0.0,VTSMX,486.1014282846016,VEURX,709.0226932378846,VUSTX,1803.1020354559,63529.94680011981
4545,2013-10-18,11.56,0.0,44.25,0.0,11.91,0.0,27.030001000000002,0.0,30.33,0.0,VTSMX,486.1014282846016,VEURX,709.0226932378846,VUSTX,1803.1020354559,63858.50601736886
4546,2013-10-21,11.52,0.0,44.240002000000004,0.0,11.91,0.0,27.02,0.0,30.41,0.0,VTSMX,486.1014282846016,VEURX,709.0226932378846,VUSTX,1803.1020354559,63838.24370932967
4547,2013-10-22,11.64,0.0,44.470001,0.0,11.98,0.0,27.15,0.0,30.790001,0.0,VTSMX,486.1014282846016,VEURX,709.0226932378846,VUSTX,1803.1020354559,64435.8481284415
4548,2013-10-23,11.69,0.0,44.259997999999996,0.0,11.78,0.0,26.76,0.0,30.6,0.0,VTSMX,486.1014282846016,VEURX,709.0226932378846,VUSTX,1803.1020354559,64289.20545123235
4549,2013-10-24,11.64,0.0,44.43,0.0,11.85,0.0,26.700001,0.0,30.799999,0.0,VTSMX,486.1014282846016,VEURX,709.0226932378846,VUSTX,1803.1020354559,64423.49239409568
