,Date,VUSTX,VUSTX Div,VTSMX,VTSMX Div,VEIEX,VEIEX Div,VPACX,VPACX Div,VEURX,VEURX Div,Enter 1,Shares 1,Enter 2,Shares 2,Enter 3,Shares 3,Enter 4,Shares 4,Capital
4097,2012-01-06,13.1,0.0,31.809998999999998,0.0,24.389999,0.0,9.11,0.0,22.07,0.0,VUSTX,1141.4730742090396,VUSTX,1141.4730742090396,VUSTX,1141.4730742090396,VUSTX,1141.4730742090396,59813.18908855368
4098,2012-01-09,13.09,0.0,31.9,0.0,24.559998999999998,0.0,9.12,0.0,22.120001000000002,0.0,VUSTX,1141.4730742090396,VUSTX,1141.4730742090396,VUSTX,1141.4730742090396,VUSTX,1141.4730742090396,59767.53016558531
4099,2012-01-10,13.07,0.0,32.209998999999996,0.0,25.049999,0.0,9.24,0.0,22.450001,0.0,VUSTX,1141.4730742090396,VUSTX,1141.4730742090396,VUSTX,1141.4730742090396,VUSTX,1141.4730742090396,59676.21231964859
4100,2012-01-11,13.22,0.0,32.25,0.0,25.040001,0.0,9.25,0.0,22.280001000000002,0.0,VUSTX,1141.4730742090396,VUSTX,1141.4730742090396,VUSTX,1141.4730742090396,VUSTX,1141.4730742090396,60361.09616417402
4101,2012-01-12,13.2,0.0,32.34,0.0,25.17,0.0,9.23,0.0,22.459999,0.0,VUSTX,1141.4730742090396,VUSTX,1141.4730742090396,VUSTX,1141.4730742090396,VUSTX,1141.4730742090396,60269.77831823729
4102,2012-01-13,13.32,0.0,32.169998,0.0,25.049999,0.0,9.22,0.0,22.139999,0.0,VUSTX,1141.4730742090396,VUSTX,1141.4730742090396,VUSTX,1141.4730742090396,VUSTX,1141.4730742090396,60817.68539385763
4103,2012-01-17,13.36,0.0,32.27,0.0,25.5,0.0,9.28,0.0,22.48,0.0,VUSTX,1141.4730742090396,VUSTX,1141.4730742090396,VUSTX,1141.4730742090396,VUSTX,1141.4730742090396,61000.32108573108
4104,2012-01-18,13.23,0.0,32.669998,0.0,25.98,0.0,9.38,0.0,22.9,0.0,VUSTX,1141.4730742090396,VUSTX,1141.4730742090396,VUSTX,1141.4730742090396,VUSTX,1141.4730742090396,60406.75508714238
4105,2012-01-19,13.07,0.0,32.84,0.0,26.23,0.0,9.43,0.0,23.24,0.0,VUSTX,1141.4730742090396,VUSTX,1141.4730742090396,VUSTX,1141.4730742090396,VUSTX,1141.4730742090396,59676.21231964859
4106,2012-01-20,12.94,0.0,32.860001000000004,0.0,26.280001000000002,0.0,9.54,0.0,23.209999,0.0,VUSTX,1141.4730742090396,VUSTX,1141.4730742090396,VUSTX,1141.4730742090396,VUSTX,1141.4730742090396,59082.64632105989
4107,2012-01-23,12.86,0.0,32.869999,0.0,26.370001000000002,0.0,9.59,0.0,23.42,0.0,VUSTX,1141.4730742090396,VUSTX,1141.4730742090396,VUSTX,1141.4730742090396,VUSTX,1141.4730742090396,58717.374937313
4108,2012-01-24,12.87,0.0,32.869999,0.0,26.35,0.0,9.51,0.0,23.35,0.0,VUSTX,1141.4730742090396,VUSTX,1141.4730742090396,VUSTX,1141.4730742090396,VUSTX,1141.4730742090396,58763.03386028136
4109,2012-01-25,12.87,0.0,33.18,0.0,26.59,0.0,9.66,0.0,23.530001000000002,0.0,VUSTX,1141.4730742090396,VUSTX,1141.4730742090396,VUSTX,1141.4730742090396,VUSTX,1141.4730742090396,58763.03386028136
4110,2012-01-26,13.01,0.0,32.990002000000004,0.0,26.690001000000002,0.0,9.67,0.0,23.59,0.0,VUSTX,1141.4730742090396,VUSTX,1141.4730742090396,VUSTX,1141.4730742090396,VUSTX,1141.4730742090396,59402.25878183842
4111,2012-01-27,13.05,0.0,32.990002000000004,0.0,26.84,0.0,9.71,0.0,23.610001,0.0,VUSTX,1141.4730742090396,VUSTX,1141.4730742090396,VUSTX,1141.4730742090396,VUSTX,1141.4730742090396,59584.89447371187
4112,2012-01-30,13.19,0.0,32.889998999999996,0.0,26.540001,0.0,9.65,0.0,23.26,0.0,VUSTX,1141.4730742090396,VUSTX,1141.4730742090396,VUSTX,1141.4730742090396,VUSTX,1141.4730742090396,60224.11939526893
4113,2012-01-31,13.32,0.03,32.880001,0.0,26.790001,0.0,9.67,0.0,23.34,0.0,VUSTX,1144.0439595113123,VUSTX,1144.0439595113123,VUSTX,1144.0439595113123,VUSTX,1144.0439595113123,60954.662162762725
4114,2012-02-01,13.18,0.0,33.240002000000004,0.0,27.209999,0.0,9.74,0.0,23.85,0.0,VUSTX,1144.0439595113123,VUSTX,1144.0439595113123,VUSTX,1144.0439595113123,VUSTX,1144.0439595113123,60313.99754543638
4115,2012-02-02,13.19,0.0,33.299999,0.0,27.450001,0.0,9.76,0.0,23.889999,0.0,VUSTX,1144.0439595113123,VUSTX,1144.0439595113123,VUSTX,1144.0439595113123,VUSTX,1144.0439595113123,60359.759303816834
