,Date,VUSTX,VUSTX Div,VEIEX,VEIEX Div,VEURX,VEURX Div,VTSMX,VTSMX Div,VPACX,VPACX Div,Enter 1,Shares 1,Capital
1172,2000-05-22,9.87,0.0,10.25,0.0,25.82,0.0,31.059998999999998,0.0,10.71,0.0,VPACX,1536.6989928370854,16458.046213285186
1173,2000-05-23,9.86,0.0,10.15,0.0,26.1,0.0,30.379998999999998,0.0,10.78,0.0,VPACX,1536.6989928370854,16565.61514278378
1174,2000-05-24,9.85,0.0,10.18,0.0,25.82,0.0,30.85,0.0,10.67,0.0,VPACX,1536.6989928370854,16396.5782535717
1175,2000-05-25,9.94,0.0,10.22,0.0,26.35,0.0,30.469998999999998,0.0,10.72,0.0,VPACX,1536.6989928370854,16473.413203213557
1176,2000-05-26,9.98,0.0,10.23,0.0,26.620001000000002,0.0,30.4,0.0,10.67,0.0,VPACX,1536.6989928370854,16396.5782535717
1177,2000-05-30,9.94,0.0,10.54,0.0,27.440001000000002,0.0,31.530001000000002,0.0,10.99,0.0,VPACX,1536.6989928370854,16888.32193127957
1178,2000-05-31,10.02,0.054000000000000006,10.68,0.0,27.41,0.0,31.469998999999998,0.0,10.68,0.0,VPACX,1536.6989928370854,16411.94524350007
1179,2000-06-01,10.1,0.0,10.89,0.0,27.879998999999998,0.0,32.23,0.0,10.75,0.0,VPACX,1536.6989928370854,16519.514172998668
1180,2000-06-02,10.13,0.0,11.28,0.0,28.950001,0.0,33.119999,0.0,11.15,0.0,VPACX,1536.6989928370854,17134.1937701335
1181,2000-06-05,10.16,0.0,11.33,0.0,28.709999,0.0,32.98,0.0,11.26,0.0,VPACX,1536.6989928370854,17303.23065934558
1182,2000-06-06,10.16,0.0,11.23,0.0,28.940001000000002,0.0,32.720001,0.0,11.39,0.0,VPACX,1536.6989928370854,17503.001528414403
1183,2000-06-07,10.18,0.0,11.24,0.0,28.719998999999998,0.0,33.080002,0.0,11.35,0.0,VPACX,1536.6989928370854,17441.533568700917
1184,2000-06-08,10.19,0.0,11.21,0.0,28.629998999999998,0.0,32.880001,0.0,11.29,0.0,VPACX,1536.6989928370854,17349.33162913069
1185,2000-06-09,10.18,0.0,11.34,0.0,28.52,0.0,32.889998999999996,0.0,11.26,0.0,VPACX,1536.6989928370854,17303.23065934558
1186,2000-06-12,10.21,0.0,11.32,0.0,28.620001000000002,0.0,32.509997999999996,0.0,11.29,0.0,VPACX,1536.6989928370854,17349.33162913069
